climate,obstacle,orientation,heat_SP,cool_SP,load,cv,qcd
0,0,-45,19,24,heat_load [kWh/m2],0,0
0,0,-45,19,24,cool_load [kWh/m2],0.0676676,0.0607658
0,0,-45,19,24,light_load [kWh/m2],0.0196849,0.00665211
0,0,-45,19,24,primary [kWh/m2],0.0555498,0.0506997
0,0,-45,19,26,heat_load [kWh/m2],0,0
0,0,-45,19,26,cool_load [kWh/m2],0.0783686,0.0703078
0,0,-45,19,26,light_load [kWh/m2],0.0196849,0.00665211
0,0,-45,19,26,primary [kWh/m2],0.0628881,0.057321
0,0,-45,21,24,heat_load [kWh/m2],0,0
0,0,-45,21,24,cool_load [kWh/m2],0.0676676,0.0607658
0,0,-45,21,24,light_load [kWh/m2],0.0196849,0.00665211
0,0,-45,21,24,primary [kWh/m2],0.0555498,0.0506997
0,0,-45,21,26,heat_load [kWh/m2],0,0
0,0,-45,21,26,cool_load [kWh/m2],0.0783686,0.0703078
0,0,-45,21,26,light_load [kWh/m2],0.0196849,0.00665211
0,0,-45,21,26,primary [kWh/m2],0.0628881,0.057321
0,0,0,19,24,heat_load [kWh/m2],0,0
0,0,0,19,24,cool_load [kWh/m2],0.072645,0.0657438
0,0,0,19,24,light_load [kWh/m2],0.0222048,0.00590936
0,0,0,19,24,primary [kWh/m2],0.0589689,0.0539911
0,0,0,19,26,heat_load [kWh/m2],0,0
0,0,0,19,26,cool_load [kWh/m2],0.0851271,0.0771341
0,0,0,19,26,light_load [kWh/m2],0.0222048,0.00590936
0,0,0,19,26,primary [kWh/m2],0.0672471,0.0616853
0,0,0,21,24,heat_load [kWh/m2],0,0
0,0,0,21,24,cool_load [kWh/m2],0.072645,0.0657438
0,0,0,21,24,light_load [kWh/m2],0.0222048,0.00590936
0,0,0,21,24,primary [kWh/m2],0.0589689,0.0539911
0,0,0,21,26,heat_load [kWh/m2],0,0
0,0,0,21,26,cool_load [kWh/m2],0.0851271,0.0771341
0,0,0,21,26,light_load [kWh/m2],0.0222048,0.00590936
0,0,0,21,26,primary [kWh/m2],0.0672471,0.0616853
0,0,45,19,24,heat_load [kWh/m2],0,0
0,0,45,19,24,cool_load [kWh/m2],0.0652895,0.0592187
0,0,45,19,24,light_load [kWh/m2],0.0216652,0.00583445
0,0,45,19,24,primary [kWh/m2],0.0528673,0.0485417
0,0,45,19,26,heat_load [kWh/m2],0,0
0,0,45,19,26,cool_load [kWh/m2],0.075927,0.068796
0,0,45,19,26,light_load [kWh/m2],0.0216652,0.00583445
0,0,45,19,26,primary [kWh/m2],0.0598552,0.0548605
0,0,45,21,24,heat_load [kWh/m2],0,0
0,0,45,21,24,cool_load [kWh/m2],0.0652895,0.0592187
0,0,45,21,24,light_load [kWh/m2],0.0216652,0.00583445
0,0,45,21,24,primary [kWh/m2],0.0528673,0.0485417
0,0,45,21,26,heat_load [kWh/m2],0,0
0,0,45,21,26,cool_load [kWh/m2],0.075927,0.068796
0,0,45,21,26,light_load [kWh/m2],0.0216652,0.00583445
0,0,45,21,26,primary [kWh/m2],0.0598552,0.0548605
0,1,-45,19,24,heat_load [kWh/m2],0,0
0,1,-45,19,24,cool_load [kWh/m2],0.0681029,0.0610433
0,1,-45,19,24,light_load [kWh/m2],0.0209666,0.0071881
0,1,-45,19,24,primary [kWh/m2],0.0556152,0.0507339
0,1,-45,19,26,heat_load [kWh/m2],0,0
0,1,-45,19,26,cool_load [kWh/m2],0.0789563,0.0706665
0,1,-45,19,26,light_load [kWh/m2],0.0209666,0.0071881
0,1,-45,19,26,primary [kWh/m2],0.0629917,0.0573991
0,1,-45,21,24,heat_load [kWh/m2],0,0
0,1,-45,21,24,cool_load [kWh/m2],0.0681029,0.0610433
0,1,-45,21,24,light_load [kWh/m2],0.0209666,0.0071881
0,1,-45,21,24,primary [kWh/m2],0.0556152,0.0507339
0,1,-45,21,26,heat_load [kWh/m2],0,0
0,1,-45,21,26,cool_load [kWh/m2],0.0789563,0.0706665
0,1,-45,21,26,light_load [kWh/m2],0.0209666,0.0071881
0,1,-45,21,26,primary [kWh/m2],0.0629917,0.0573991
0,1,0,19,24,heat_load [kWh/m2],0,0
0,1,0,19,24,cool_load [kWh/m2],0.0734938,0.0665498
0,1,0,19,24,light_load [kWh/m2],0.024392,0.00759106
0,1,0,19,24,primary [kWh/m2],0.059052,0.0540674
0,1,0,19,26,heat_load [kWh/m2],0,0
0,1,0,19,26,cool_load [kWh/m2],0.086397,0.0783459
0,1,0,19,26,light_load [kWh/m2],0.024392,0.00759106
0,1,0,19,26,primary [kWh/m2],0.067473,0.0618798
0,1,0,21,24,heat_load [kWh/m2],0,0
0,1,0,21,24,cool_load [kWh/m2],0.0734938,0.0665498
0,1,0,21,24,light_load [kWh/m2],0.024392,0.00759106
0,1,0,21,24,primary [kWh/m2],0.059052,0.0540674
0,1,0,21,26,heat_load [kWh/m2],0,0
0,1,0,21,26,cool_load [kWh/m2],0.086397,0.0783459
0,1,0,21,26,light_load [kWh/m2],0.024392,0.00759106
0,1,0,21,26,primary [kWh/m2],0.067473,0.0618798
0,1,45,19,24,heat_load [kWh/m2],0,0
0,1,45,19,24,cool_load [kWh/m2],0.0660492,0.059921
0,1,45,19,24,light_load [kWh/m2],0.0234426,0.00672453
0,1,45,19,24,primary [kWh/m2],0.0529529,0.0487082
0,1,45,19,26,heat_load [kWh/m2],0,0
0,1,45,19,26,cool_load [kWh/m2],0.0769293,0.0696335
0,1,45,19,26,light_load [kWh/m2],0.0234426,0.00672453
0,1,45,19,26,primary [kWh/m2],0.0599619,0.055004
0,1,45,21,24,heat_load [kWh/m2],0,0
0,1,45,21,24,cool_load [kWh/m2],0.0660492,0.059921
0,1,45,21,24,light_load [kWh/m2],0.0234426,0.00672453
0,1,45,21,24,primary [kWh/m2],0.0529529,0.0487082
0,1,45,21,26,heat_load [kWh/m2],0,0
0,1,45,21,26,cool_load [kWh/m2],0.0769293,0.0696335
0,1,45,21,26,light_load [kWh/m2],0.0234426,0.00672453
0,1,45,21,26,primary [kWh/m2],0.0599619,0.055004
0,2,-45,19,24,heat_load [kWh/m2],0,0
0,2,-45,19,24,cool_load [kWh/m2],0.0613532,0.0547225
0,2,-45,19,24,light_load [kWh/m2],0.0236079,0.00819875
0,2,-45,19,24,primary [kWh/m2],0.0492393,0.0448742
0,2,-45,19,26,heat_load [kWh/m2],0,0
0,2,-45,19,26,cool_load [kWh/m2],0.0713396,0.0635894
0,2,-45,19,26,light_load [kWh/m2],0.0236079,0.00819875
0,2,-45,19,26,primary [kWh/m2],0.0558889,0.0509012
