climate,obstacle,orientation,heat_SP,cool_SP,load,sampling_method,num_inputs,cvrmse,model
0,0,0,19,24,heat_load [kWh/m2],LHS_maximin,2,0.0387657,dnn881
0,0,0,19,24,heat_load [kWh/m2],LHS_maximin,8,0.0669513,dnn881
0,0,0,19,24,heat_load [kWh/m2],mipt,2,0.0121674,dnn881
0,0,0,19,24,heat_load [kWh/m2],mipt,8,0.0425606,dnn881
0,0,0,19,24,heat_load [kWh/m2],mipt_full,2,0.0162187,dnn881
0,0,0,19,24,heat_load [kWh/m2],mipt_full,8,0.122075,dnn881
0,0,0,19,24,cool_load [kWh/m2],LHS_maximin,2,0.148142,dnn881
0,0,0,19,24,cool_load [kWh/m2],LHS_maximin,8,0.176477,dnn881
0,0,0,19,24,cool_load [kWh/m2],mipt,2,0.150394,dnn881
0,0,0,19,24,cool_load [kWh/m2],mipt,8,0.156514,dnn881
0,0,0,19,24,cool_load [kWh/m2],mipt_full,2,0.153709,dnn881
0,0,0,19,24,cool_load [kWh/m2],mipt_full,8,0.167259,dnn881
0,0,0,19,24,light_load [kWh/m2],LHS_maximin,2,0.0159202,dnn881
0,0,0,19,24,light_load [kWh/m2],LHS_maximin,8,0.0626287,dnn881
0,0,0,19,24,light_load [kWh/m2],mipt,2,0.0118017,dnn881
0,0,0,19,24,light_load [kWh/m2],mipt,8,0.0346297,dnn881
0,0,0,19,24,light_load [kWh/m2],mipt_full,2,0.0149947,dnn881
0,0,0,19,24,light_load [kWh/m2],mipt_full,8,0.0492903,dnn881
0,0,0,19,24,primary [kWh/m2],LHS_maximin,2,0.270051,dnn881
0,0,0,19,24,primary [kWh/m2],LHS_maximin,8,0.275982,dnn881
0,0,0,19,24,primary [kWh/m2],mipt,2,0.270112,dnn881
0,0,0,19,24,primary [kWh/m2],mipt,8,0.278067,dnn881
0,0,0,19,24,primary [kWh/m2],mipt_full,2,0.27059,dnn881
0,0,0,19,24,primary [kWh/m2],mipt_full,8,0.302918,dnn881
0,0,0,19,26,heat_load [kWh/m2],LHS_maximin,2,0.0128604,dnn881
0,0,0,19,26,heat_load [kWh/m2],LHS_maximin,8,0.0983092,dnn881
0,0,0,19,26,heat_load [kWh/m2],mipt,2,0.0134529,dnn881
0,0,0,19,26,heat_load [kWh/m2],mipt,8,0.0590945,dnn881
0,0,0,19,26,heat_load [kWh/m2],mipt_full,2,0.0156478,dnn881
0,0,0,19,26,heat_load [kWh/m2],mipt_full,8,0.0248023,dnn881
0,0,0,19,26,cool_load [kWh/m2],LHS_maximin,2,0.0987156,dnn881
0,0,0,19,26,cool_load [kWh/m2],LHS_maximin,8,0.103766,dnn881
0,0,0,19,26,cool_load [kWh/m2],mipt,2,0.102615,dnn881
0,0,0,19,26,cool_load [kWh/m2],mipt,8,0.133172,dnn881
0,0,0,19,26,cool_load [kWh/m2],mipt_full,2,0.101701,dnn881
0,0,0,19,26,cool_load [kWh/m2],mipt_full,8,0.102709,dnn881
0,0,0,19,26,light_load [kWh/m2],LHS_maximin,2,0.0154616,dnn881
0,0,0,19,26,light_load [kWh/m2],LHS_maximin,8,0.164054,dnn881
0,0,0,19,26,light_load [kWh/m2],mipt,2,0.0148799,dnn881
0,0,0,19,26,light_load [kWh/m2],mipt,8,0.0467843,dnn881
0,0,0,19,26,light_load [kWh/m2],mipt_full,2,0.0124756,dnn881
0,0,0,19,26,light_load [kWh/m2],mipt_full,8,0.0693394,dnn881
0,0,0,19,26,primary [kWh/m2],LHS_maximin,2,0.210058,dnn881
0,0,0,19,26,primary [kWh/m2],LHS_maximin,8,0.244034,dnn881
0,0,0,19,26,primary [kWh/m2],mipt,2,0.210271,dnn881
0,0,0,19,26,primary [kWh/m2],mipt,8,0.208731,dnn881
0,0,0,19,26,primary [kWh/m2],mipt_full,2,0.20644,dnn881
0,0,0,19,26,primary [kWh/m2],mipt_full,8,0.219016,dnn881
0,0,0,21,24,heat_load [kWh/m2],LHS_maximin,2,0.0276321,dnn881
0,0,0,21,24,heat_load [kWh/m2],LHS_maximin,8,0.103325,dnn881
0,0,0,21,24,heat_load [kWh/m2],mipt,2,0.0173131,dnn881
0,0,0,21,24,heat_load [kWh/m2],mipt,8,0.0504587,dnn881
0,0,0,21,24,heat_load [kWh/m2],mipt_full,2,0.0175914,dnn881
0,0,0,21,24,heat_load [kWh/m2],mipt_full,8,0.127847,dnn881
0,0,0,21,24,cool_load [kWh/m2],LHS_maximin,2,0.153471,dnn881
0,0,0,21,24,cool_load [kWh/m2],LHS_maximin,8,0.163572,dnn881
0,0,0,21,24,cool_load [kWh/m2],mipt,2,0.14928,dnn881
0,0,0,21,24,cool_load [kWh/m2],mipt,8,0.157936,dnn881
0,0,0,21,24,cool_load [kWh/m2],mipt_full,2,0.150054,dnn881
0,0,0,21,24,cool_load [kWh/m2],mipt_full,8,0.192316,dnn881
0,0,0,21,24,light_load [kWh/m2],LHS_maximin,2,0.0161532,dnn881
0,0,0,21,24,light_load [kWh/m2],LHS_maximin,8,0.606002,dnn881
0,0,0,21,24,light_load [kWh/m2],mipt,2,0.0142699,dnn881
0,0,0,21,24,light_load [kWh/m2],mipt,8,0.067835,dnn881
0,0,0,21,24,light_load [kWh/m2],mipt_full,2,0.0151362,dnn881
0,0,0,21,24,light_load [kWh/m2],mipt_full,8,0.0497878,dnn881
0,0,0,21,24,primary [kWh/m2],LHS_maximin,2,0.267731,dnn881
0,0,0,21,24,primary [kWh/m2],LHS_maximin,8,0.276736,dnn881
0,0,0,21,24,primary [kWh/m2],mipt,2,0.267199,dnn881
0,0,0,21,24,primary [kWh/m2],mipt,8,0.27021,dnn881
0,0,0,21,24,primary [kWh/m2],mipt_full,2,0.265988,dnn881
0,0,0,21,24,primary [kWh/m2],mipt_full,8,0.275767,dnn881
0,0,0,21,26,heat_load [kWh/m2],LHS_maximin,2,0.0224052,dnn881
0,0,0,21,26,heat_load [kWh/m2],LHS_maximin,8,0.208453,dnn881
0,0,0,21,26,heat_load [kWh/m2],mipt,2,0.0144997,dnn881
0,0,0,21,26,heat_load [kWh/m2],mipt,8,0.323109,dnn881
0,0,0,21,26,heat_load [kWh/m2],mipt_full,2,0.0180708,dnn881
0,0,0,21,26,heat_load [kWh/m2],mipt_full,8,0.0396573,dnn881
0,0,0,21,26,cool_load [kWh/m2],LHS_maximin,2,0.0994905,dnn881
0,0,0,21,26,cool_load [kWh/m2],LHS_maximin,8,0.141497,dnn881
0,0,0,21,26,cool_load [kWh/m2],mipt,2,0.100943,dnn881
0,0,0,21,26,cool_load [kWh/m2],mipt,8,0.100429,dnn881
0,0,0,21,26,cool_load [kWh/m2],mipt_full,2,0.0960976,dnn881
0,0,0,21,26,cool_load [kWh/m2],mipt_full,8,0.100559,dnn881
0,0,0,21,26,light_load [kWh/m2],LHS_maximin,2,0.0144644,dnn881
0,0,0,21,26,light_load [kWh/m2],LHS_maximin,8,0.0782774,dnn881
0,0,0,21,26,light_load [kWh/m2],mipt,2,0.0170035,dnn881
0,0,0,21,26,light_load [kWh/m2],mipt,8,0.0641348,dnn881
0,0,0,21,26,light_load [kWh/m2],mipt_full,2,0.0137918,dnn881
0,0,0,21,26,light_load [kWh/m2],mipt_full,8,0.0451351,dnn881
0,0,0,21,26,primary [kWh/m2],LHS_maximin,2,0.204229,dnn881
0,0,0,21,26,primary [kWh/m2],LHS_maximin,8,0.266833,dnn881
0,0,0,21,26,primary [kWh/m2],mipt,2,0.206771,dnn881
0,0,0,21,26,primary [kWh/m2],mipt,8,0.21964,dnn881
0,0,0,21,26,primary [kWh/m2],mipt_full,2,0.206328,dnn881
0,0,0,21,26,primary [kWh/m2],mipt_full,8,0.216779,dnn881
0,0,45,19,24,heat_load [kWh/m2],LHS_maximin,2,0.0411915,dnn881
0,0,45,19,24,heat_load [kWh/m2],LHS_maximin,8,0.0785893,dnn881
0,0,45,19,24,heat_load [kWh/m2],mipt,2,0.013282,dnn881
0,0,45,19,24,heat_load [kWh/m2],mipt,8,0.309505,dnn881
0,0,45,19,24,heat_load [kWh/m2],mipt_full,2,0.0167585,dnn881
0,0,45,19,24,heat_load [kWh/m2],mipt_full,8,0.0345028,dnn881
0,0,45,19,24,cool_load [kWh/m2],LHS_maximin,2,0.149866,dnn881
0,0,45,19,24,cool_load [kWh/m2],LHS_maximin,8,0.149222,dnn881
0,0,45,19,24,cool_load [kWh/m2],mipt,2,0.150562,dnn881
0,0,45,19,24,cool_load [kWh/m2],mipt,8,0.147779,dnn881
0,0,45,19,24,cool_load [kWh/m2],mipt_full,2,0.156365,dnn881
