climate,obstacle,orientation,heat_SP,cool_SP,load,cvrmse,model
0,0,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,0,19,24,cool_load [kWh/m2],0.0180647,xgb12
0,0,0,19,24,light_load [kWh/m2],0.016862,xgb12
0,0,0,19,24,primary [kWh/m2],0.016914,xgb12
0,0,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,0,19,26,cool_load [kWh/m2],0.0207998,xgb12
0,0,0,19,26,light_load [kWh/m2],0.0168869,xgb12
0,0,0,19,26,primary [kWh/m2],0.0201636,xgb12
0,0,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,0,21,24,cool_load [kWh/m2],0.0174134,xgb12
0,0,0,21,24,light_load [kWh/m2],0.0147781,xgb12
0,0,0,21,24,primary [kWh/m2],0.0162502,xgb12
0,0,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,0,21,26,cool_load [kWh/m2],0.0232258,xgb12
0,0,0,21,26,light_load [kWh/m2],0.0134971,xgb12
0,0,0,21,26,primary [kWh/m2],0.0183345,xgb12
0,0,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,45,19,24,cool_load [kWh/m2],0.0192378,xgb12
0,0,45,19,24,light_load [kWh/m2],0.0135902,xgb12
0,0,45,19,24,primary [kWh/m2],0.0131453,xgb12
0,0,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,45,19,26,cool_load [kWh/m2],0.0210101,xgb12
0,0,45,19,26,light_load [kWh/m2],0.0150811,xgb12
0,0,45,19,26,primary [kWh/m2],0.0173174,xgb12
0,0,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,45,21,24,cool_load [kWh/m2],0.0170576,xgb12
0,0,45,21,24,light_load [kWh/m2],0.0147588,xgb12
0,0,45,21,24,primary [kWh/m2],0.0142607,xgb12
0,0,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,45,21,26,cool_load [kWh/m2],0.0212898,xgb12
0,0,45,21,26,light_load [kWh/m2],0.0166611,xgb12
0,0,45,21,26,primary [kWh/m2],0.0148771,xgb12
0,0,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,-45,19,24,cool_load [kWh/m2],0.0200175,xgb12
0,0,-45,19,24,light_load [kWh/m2],0.0120799,xgb12
0,0,-45,19,24,primary [kWh/m2],0.0145248,xgb12
0,0,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,-45,19,26,cool_load [kWh/m2],0.022611,xgb12
0,0,-45,19,26,light_load [kWh/m2],0.0152266,xgb12
0,0,-45,19,26,primary [kWh/m2],0.0164866,xgb12
0,0,-45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,-45,21,24,cool_load [kWh/m2],0.019323,xgb12
0,0,-45,21,24,light_load [kWh/m2],0.0134596,xgb12
0,0,-45,21,24,primary [kWh/m2],0.0148612,xgb12
0,0,-45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,0,-45,21,26,cool_load [kWh/m2],0.0236429,xgb12
0,0,-45,21,26,light_load [kWh/m2],0.0119727,xgb12
0,0,-45,21,26,primary [kWh/m2],0.0189509,xgb12
0,1,0,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,0,19,24,cool_load [kWh/m2],0.0178869,xgb12
0,1,0,19,24,light_load [kWh/m2],0.0181169,xgb12
0,1,0,19,24,primary [kWh/m2],0.0153369,xgb12
0,1,0,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,0,19,26,cool_load [kWh/m2],0.0234234,xgb12
0,1,0,19,26,light_load [kWh/m2],0.0188948,xgb12
0,1,0,19,26,primary [kWh/m2],0.0171696,xgb12
0,1,0,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,0,21,24,cool_load [kWh/m2],0.0190112,xgb12
0,1,0,21,24,light_load [kWh/m2],0.0175831,xgb12
0,1,0,21,24,primary [kWh/m2],0.0155097,xgb12
0,1,0,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,0,21,26,cool_load [kWh/m2],0.0226966,xgb12
0,1,0,21,26,light_load [kWh/m2],0.0145181,xgb12
0,1,0,21,26,primary [kWh/m2],0.0166517,xgb12
0,1,45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,45,19,24,cool_load [kWh/m2],0.0191076,xgb12
0,1,45,19,24,light_load [kWh/m2],0.0147793,xgb12
0,1,45,19,24,primary [kWh/m2],0.0151963,xgb12
0,1,45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,45,19,26,cool_load [kWh/m2],0.0209575,xgb12
0,1,45,19,26,light_load [kWh/m2],0.0166086,xgb12
0,1,45,19,26,primary [kWh/m2],0.0170493,xgb12
0,1,45,21,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,45,21,24,cool_load [kWh/m2],0.0181943,xgb12
0,1,45,21,24,light_load [kWh/m2],0.0156425,xgb12
0,1,45,21,24,primary [kWh/m2],0.0157375,xgb12
0,1,45,21,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,45,21,26,cool_load [kWh/m2],0.0209876,xgb12
0,1,45,21,26,light_load [kWh/m2],0.0157101,xgb12
0,1,45,21,26,primary [kWh/m2],0.0160214,xgb12
0,1,-45,19,24,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,-45,19,24,cool_load [kWh/m2],0.0180809,xgb12
0,1,-45,19,24,light_load [kWh/m2],0.0120444,xgb12
0,1,-45,19,24,primary [kWh/m2],0.0150861,xgb12
0,1,-45,19,26,heat_load [kWh/m2],3.78084e-05,xgb12
0,1,-45,19,26,cool_load [kWh/m2],0.021357,xgb12
0,1,-45,19,26,light_load [kWh/m2],0.0128149,xgb12
0,1,-45,19,26,primary [kWh/m2],0.0169213,xgb12
